Year;Mo;Dy;Hr;Mn;Sec;Tsu;Vol;Location Name;Latitude;Longitude;Focal Depth (km);Mag;MMI Int;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
342;;;;;;;;TURKEY:  ANTAKYA (ANTIOCH);362;361;;;;40000;4;;;;;;4;;;;;40000;4;;;;;;4;;;;
344;4;11;;;;;;ITALY:  CAMPANIA;405;145;;;10;;;;;;;;;;;;;;;;;;;;;;;;
344;;;;;;;;CHINA:  HENAN PROVINCE;354;1143;;;;101;3;;;;;;;;;;;101;3;;;;;;;;;;
344;;;;;;35;;TURKEY:  DARDANELLES;403;265;;;9;;;;;;;;3;;;;;;;;;;;;3;;;;
346;;;;;;3474;;ALBANIA:  DURRES (DYRRACHIUM);414;194;;68;9;;;;;;;;2;;3;;;;;;;;;;2;;3;;
348;;;;;;36;;LEBANON:  BAYRUT (BEROUTH);339;355;;;9;;;;;;;;3;;;;;;;;;;;;3;;;;
350;10;;;;0;;;TURKEY;41;30;;;10;;;;;;;;;;;;;;;;;;;;;;;;
355;;;;;0;;;TURKEY:  IZMIT,NICOMEDIA;407;297;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
358;8;24;;;;2314;;TURKEY:  IZNIK, IZMIT [NICOMEDIA];4077;299;;;7;;3;;;;;;3;;;;;;3;;;;;;3;;3;;
361;;;;;;;;BALKANS NW:  MACEDONIA:  STOBI;416;215;;;12;;;;;;;;4;;;;;;;;;;;;;;;;
362;5;24;;;;37;;JORDAN:  AL:KARAK;313;356;;64;;;;;;;;;3;;;;;;;;;;;;3;;;;
362;12;2;;;;;;TURKEY;41;295;;;10;;;;;;;;;;;;;;;;;;;;;;;;
365;7;21;;;;38;;GREECE:  CRETE:  KNOSSOS;35;23;;8;11;;3;;;;;;4;;3;;3;5000;4;;;;;;4;;3;;
367;10;11;;;0;;;TURKEY:  IZNIK,NICAEA;407;297;;;;1000;3;;;;;;3;;;;;;;;;;;;;;;;
368;10;11;;;;;;TURKEY:  NICAEA [IZNIK];40;29;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
368;;;;;;3475;;TURKEY:  MARMARA SEA;405;296;;64;8;;;;;;;;2;;;;;;;;;;;;2;;;;
369;;;;;;;;ITALY:  BENEVENTO;411;148;;;10;;;;;;;;;;;;;;;;;;;;;;;;
382;;;;;;4273;;PORTUGAL:  CABO SAN VICENTE:  SW;36;-1083;;75;;;;;;;;;;;;;;;;;;;;;;;;;
394;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
396;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
407;4;1;;;;2315;;TURKEY:  MARMARA SEA;41;29;;66;8;;;;;;;;1;;;;;;;;;;;;1;;;;
412;;;;;;;;TUNISIA:  UTIQUE;37067;10067;;;10;;;;;;;;;;;;;;;;;;;;;;;;
419;;;;;;;;ISRAEL:  PALESTINE;312;342;;;;;;;;;;;3;;;;;;;;;;;;;;;;
425;;;;;;;;ISRAEL:  JERUSALEM, PALESTINE, RAMLEH: EGYPT;319;349;;;10;;;;;;;;3;;;;;;;;;;;;3;;;;
427;;;;;0;;;AZERBAIJAN;405;465;12;67;10;;;;;;;;3;;;;;;;;;;;;;;;;
438;;;;;0;;;GREECE:  CRETE;355;255;;;10;;;;;;;;;;;;;;;;;;;;;;;;
440;10;26;;;0;;;TURKEY:  ISTANBUL (CONSTANTINOPLE);41;29;;;7;;;;;;;;3;;;;;;;;;;;;;;;;
447;1;26;;;;41;;TURKEY:  ISTANBUL (CONSTANTINOPLE);409;285;;73;9;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
448;9;6;;;0;;;GREECE:  CRETE;35;25;;;10;;;;;;;;;;;;;;;;;;;;;;;;
450;;;;;;4294;;INSTANBUL (CONSTANTINOPLE);404;284;;;5;;;;;;;;;;;;;;;;;;;;;;;;
457;;;;;;;;TURKEY:  ANTAKYA (ANTIOCH);362;361;;;10;;;;;;;;4;;;;;;;;;;;;4;;;;
458;9;;;;;;;TURKEY:  ANTAKYA (ANTIOCH);362;361;;;9;80000;4;;;;;;3;;;;;80000;4;;;;;;3;;;;
460;7;22;;;;;;THAILAND:  YONOK:NAGABANDHU;203;100;;;12;;3;;;;;;3;;;;;;3;;;;;;3;;;;
470;;;;;0;;;FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ;444;43;;;;;;;;;;;3;;;;;;;;;;;;;;;;
477;9;25;;;0;;;TURKEY:  ISTANBUL (CONSTANTINOPLE);41;29;;;10;;3;;;;;;3;;;;;;;;;;;;;;;;
478;9;25;;;;2317;;TURKEY:  MARMARA SEA;408;292;;72;9;;;;;;;;;;;;;;;;;;;;;;;;
494;;;;;0;;;LEBANON:  TARABULUS (TRIPOLIS): SYRIA;343;355;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
499;8;4;;;;;;CHINA:  JIANGSU PROVINCE;321;1188;;;6;;;;;;;;2;;3;;;;;;;;;;2;;3;;
500;;;;;0;;;KAZAKHSTAN;427;765;20;67;8;;;;;;;;3;;;;;;;;;;;;;;;;
501;;;;;;;;NORTH KOREA:  PYONGYANG;39;1253;;63;8;;3;;;;;;2;;;;;;;;;;;;;;;;
510;;;;;0;;;SOUTH KOREA:  KYONGJU;355;1291;;63;8;;3;;;;;;2;;2;;;;3;;;;;;2;;2;;
512;5;21;;;;;;CHINA:  SHAANXI PROVINCE:  YINGXIAN;394;1133;;75;10;5130;4;;;2720;4;;4;;;;;5130;4;;;2720;4;;4;;;;
518;;;;;;;;BALKANS NW:  MACEDONIA:  SKOPJE, STAMER;42;214;;;12;;;;;;;;4;;;;;;;;;;;;;;;;
521;;;;;0;;;GREECE:  DURRES,KORINTHOS;396;212;;;;;;;;;;;3;;;;;;;;;;;;;;;;
522;;;;;0;;;SYRIA;362;361;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
522;;;;;0;;;ALBANIA:  DURRES;412;193;;;10;;;;;;;;;;;;;;;;;;;;;;;;
525;5;29;;;;;;TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG;3625;361;;7;9;250000;4;;;;;;4;;;;;250000;4;;;;;;4;;;;
527;;;;;0;;;GREECE:ALBANIA;401;208;;;10;;;;;;;;;;;;;;;;;;;;;;;;
528;11;29;;;;;;TURKEY:  ANTAKYA (ANTIOCH);3625;361;;71;10;4870;4;;;;;;4;;;;;4870;4;;;;;;4;;;;
533;11;29;;;;;;SYRIA:  ALEPPO;362;372;;;;130000;4;;;;;;;;;;;130000;4;;;;;;;;;;
543;;;;;;43;;TURKEY:  CYZICUS;403;278;;68;10;;;;;;;;3;;;;;;3;;;;;;3;;;;
551;4;;;;;46;;GREECE:  MALIAKOS GULF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;7;7;;;;5586;;GREECE:  SCHISMA, BOETIA;384;223;;71;9;5000;4;;;;;;4;;4;;;5000;4;;;;;;4;;4;;
551;7;9;;;;47;;LEBANON:  BAYRUT (BEIRUT): EGYPT: IRAQ:SAUDI ARABIA;339;355;;73;10;;4;;;;;;4;;;;;;4;;;;;;4;;;;
552;7;9;;;0;;;SYRIA:  HALAB (ALEPPO): TURKEY:  ANTAKYA (ANTIOCH);361;371;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
553;7;9;;;0;;;LEBANON:  BAYRUT (BEIRUT);339;355;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
554;8;15;;;;48;;GREECE: KOS;368;273;;7;;;3;;;;;;2;;2;;2;;3;;;;;;2;;2;;2
555;8;15;;;;3785;;TURKEY:  ISTANBUL (CONSTANTINOPLE);4104;2898;;;10;;;;;;;;;;;;;;;;;;;;;;;;
557;7;9;;;;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;10;;;;;;;;3;;3;;;;;;;;;;3;;3;;
557;10;14;;;;;;TURKEY:  MARMARA SEA;409;276;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;;;;;;2286;;TURKEY:  ISTANBUL (CONSTANTINOPLE);409;276;;7;9;;;;;;;;;;;;;;;;;;;;;;;;
558;12;14;;;;49;;TURKEY;409;288;;7;9;;;;;;;;;;;;;;;;;;;;;;;;
558;12;25;;;;;;ITALY:  ANCONA;436;135;;;10;;;;;;;;3;;;;;;;;;;;;3;;;;
565;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);362;361;;;;30000;4;;;;;;;;;;;;;;;;;;;;;;
567;;;;;0;;;BALKANS NW:  SLOVENIA;456;153;;;10;;;;;;;;;;;;;;;;;;;;;;;;
579;;;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);36;36;;;;;;;;;;;3;;;;;;;;;;;;;;;;
581;7;9;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);361;361;;;9;;;;;;;;3;;;;;;;;;;;;;;;;
587;9;30;;;;;;TURKEY:  ANTAKYA (ANTIOCH);3625;361;;;9;60000;4;;;;;;4;;;;;60000;4;;;;;;4;;;;
600;12;13;;;;;;CHINA:  SHAANXI PROVINCE;343;1089;;;7;101;3;;;;;;2;;3;;;101;3;;;;;;2;;3;;
614;;;;;0;;;ITALY;41;15;;;;1000;3;;;;;;3;;;;;;;;;;;;;;;;
634;;;;;0;;;IRAN:  TABRIZ;38;462;;;;;;;;;;;3;;;;;;;;;;;;;;;;
649;9;12;;;;;;CHINA:  SHAANXI PROVINCE:  LINFEN;361;1115;;55;7;50;1;;;;;;2;;2;;;50;1;;;;;;2;;2;;
662;4;26;;;0;;;IRAN:  QUMIS:  SEMNAN,DAMGHAN;353;54;;;;40000;4;;;;;;3;;;;;;;;;;;;;;;;
664;9;12;;;0;;;SOUTH KOREA:  KYONGJU;355;1291;;63;8;;;;;;;;3;;;;;;;;;;;;;;;;
678;;;;;0;;;IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS;35;435;;;7;;;;;;;;3;;;;;;;;;;;;;;;;
684;11;29;;;;53;;JAPAN;325;134;;84;;;3;;;;;;3;;;;;;3;;;;;;3;;;;
688;;;;;;;;TURKEY:  IZMIR;384;272;;;9;2000;4;;;;;;3;;;;;;;;;;;;;;;;
701;5;12;;;;54;;JAPAN:  KYOTO PREFECTURE;357;1354;;7;;;;;;;;;;;;;;;;;;;;;;;;;
704;8;2;;;;55;;JAPAN:  KUMANONADA;338;1367;;7;;;;;;;;;;;;;;;;;;;;;;;;;
713;3;20;;;;;;TURKEY:  ANTAKYA (ANTIOCH);36;36;;;7;;;;;;;;3;;;;;;;;;;;;;;;;
715;;;;;0;;;TURKEY:  IZNIK;404;289;;;9;;;;;;;;2;;;;;;;;;;;;;;;;
716;8;25;;;0;;;TURKEY:  ANTAKYA (ANTIOCH);36;36;;;;;;;;;;;2;;;;;;;;;;;;;;;;
734;3;19;;;;;;CHINA:  GANSU PROVINCE:  TIANSHUI;346;1056;;7;9;101;3;;;;;;2;;3;;;101;3;;;;;;2;;3;;
735;6;21;;;0;;;ARMENIA:  BAYOTSDZOR;397;455;16;58;8;;;;;;;;2;;;;;;;;;;;;;;;;
740;10;26;;;;56;;TURKEY:  ISTANBUL (CONSTANTINOPLE);407;293;;73;9;;3;;;;;;3;;3;;;;3;;;;;;3;;3;;
742;;;;;0;;;SYRIA:  ISRAEL: ASIA;35;38;;;;;3;;;;;;3;;;;;;;;;;;;;;;;
743;;;;;;;;IRAN:  EIVAN:E:KAY;353;522;;72;9;;;;;;;;3;;;;;;;;;;;;3;;;;
743;;;;;;;;RUSSIA:  CASPIAN SEA;421;482;20;55;7;;;;;;;;1;;;;;;;;;;;;1;;;;
744;6;30;;;;57;;JAPAN:  SHIMABARA, YATSUSHIRO, HIGO;324;1305;;64;;;;;;;;;;;;;;1520;4;;;;;;2;470;3;;
745;6;5;;;;;;JAPAN:  MINO;355;1369;;79;;;;;;;;;3;;;;;;;;;;;;3;;;;
745;6;9;;;;58;;JAPAN: OSAKA BAY;346;1353;;65;;;;;;;;;;;;;;;3;;;;;;;;;;
746;1;18;;;0;59;;ISRAEL:  TEVERYA (TIBERIAS), ARIHA (JERICHO);32;355;;7;11;;;;;;;;3;;;;;;;;;;;;3;;;;
748;8;31;;;;;;SYRIA:  DIMASHQ (DAMASCUS);335;363;;;;;;;;;;;2;;;;;;;;;;;;;;;;
749;1;25;;;;;;IRAQ:  JAZIRAH:  NE OF THARTHAR RIVER;35;435;;;10;;;;;;;;3;;;;;;;;;;;;;;;;
758;;;;;0;;;ISRAEL:  PALESTINE: SYRIA:  HALAB: TURKEY:  ANTAKYA;312;342;;;7;;;;;;;;2;;;;;;;;;;;;;;;;
763;;;;;;;;IRAN:  KHURASAN;333;593;;76;;;;;;;;;;;;;;;;;;;;;;;;;
766;7;20;;;;61;844;JAPAN:  N. KAGOSHIMA BAY;316;1307;;65;;;;;;;;;;;;;;;3;;;;;;;;;;
777;;;;;;;;CHINA:  HEBEI PROVINCE:  SHULU, NINGJIN;378;1152;;;8;200;3;;;;;;2;;3;;;200;3;;;;;;2;;3;;
