Year;Mo;Dy;Hr;Mn;Sec;Tsu;Vol;Location Name;Latitude;Longitude;Focal Depth (km);Mag;MMI Int;Deaths;Death Description;Missing;Missing Description;Injuries;Injuries Description;Damage ($Mil);Damage Description;Houses Destroyed;Houses Destroyed Description;Houses Damaged;Houses Damaged Description;Total Deaths;Total Death Description;Total Missing;Total Missing Description;Total Injuries;Total Injuries Description;Total Damage ($Mil);Total Damage Description;Total Houses Destroyed;Total Houses Destroyed Description;Total Houses Damaged;Total Houses Damaged Description
1954;2;11;0;30;15;3572;;CHINA:  GANSU PROVINCE;39;1013;;73;10;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1954;2;28;18;9;0;;;AUSTRALIA:  ADELAIDE:  S;-349;1387;4;54;8;;;;;;;;2;;;;;;;;;;;;;;;;
1954;3;21;23;42;11;;;MYANMAR: INDIA:  CALCUTTA, CUTTACK, BHAGALPUR;245;953;180;74;;;;;;;;;2;;;;;;;;;;;;2;;;;
1954;3;29;6;17;0;;;SPAIN;37;-35;640;7;;;;;;;;;3;;;;;;;;;;;;;;;;
1954;4;20;;;0;;;GREECE;398;221;;7;;25;1;;;;;;;;;;;;;;;;;;;;;;
1954;4;29;11;34;0;;;ATLANTIC OCEAN:  NORTHERN;295;-295;;75;;;;;;;;;;;;;;;;;;;;;;;;;
1954;4;30;13;2;0;;;GREECE:  SOPHADES (KARDITSA);393;222;;7;10;31;1;;;;;3.15;2;;;;;;;;;;;;;;;;
1954;6;10;;;0;;;AFGHANISTAN:  NORTHERN;36;66;;;;2000;4;;;;;;;;;;;;;;;;;;;;;;
1954;6;17;2;8;39;;;CHINA:  ANHUI PROVINCE;316;1166;;53;6;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1954;7;2;2;45;0;;;PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI;13;1239;;68;9;13;1;;;101;3;;2;;;;;13;1;;;101;3;;;;;;
1954;7;6;11;13;0;;;NEVADA:  FALLON;394;-1185;;68;;;;;;;;;2;;;;;;;;;;;;2;;;;
1954;7;31;1;0;0;;;CHINA: NEI MONGOL;388;1042;;7;;;;;;;;;2;542;3;;;;;;;;;;2;542;3;;
1954;8;20;15;30;0;;;IRAN:  TONBAK,KANGAN,SABAKHI,AKHTAR;275;52;;5;;1;1;;;;;;3;;;;;1;1;;;;;;;;;;
1954;8;23;;;0;;;NEVADA:  STILLWATER RANGE;396;-1185;;68;12;;;;;;;;;;;;;;;;;;;;;;;;
1954;9;9;1;4;434;3394;;ALGERIA:  ORLEANSVILLE;36274;1594;15;67;11;1243;4;;;5000;4;6;3;20000;4;;;1243;4;;;5000;4;6;3;20000;4;;
1954;9;9;2;49;48;;;ALGERIA:  EL ASNAM;36;15;;67;11;;;;;;;;;;;;;;;;;;;;;;;;
1954;9;9;2;52;24;;;ALGERIA:  EL ASNAM;36;15;;;11;;;;;;;;;;;;;;;;;;;;;;;;
1954;9;9;9;28;42;;;ALGERIA:  EL ASNAM;36;15;;6;10;;;;;;;;;;;;;;;;;;;;;;;;
1954;10;24;11;41;6;;;CHINA:  SICHUAN PROVINCE;294;1048;;5;7;;;;;;;;1;;1;;1;;;;;;;;1;;1;;
1954;11;2;8;24;54;;;INDONESIA:  SUMABAWA:  BIMA,RABA;-8;119;;68;8;;;;;;;;1;;;;2;;;;;;;;1;;;;2
1954;11;18;20;44;55;1847;;JAPAN:  HONSHU:  MIYAGI PREFECTURE;389;1422;30;65;;;;;;;;;;;;;;;;;;;;;;;;;
1954;12;16;11;7;0;;;NEVADA:  DIXIE VALLEY;393;-1182;;7;10;;;;;;;;;;;;;;;;;;;;;;;;
1955;1;18;;;;1848;;VENEZUELA:  OFF THE COAST NEAR LA VELA;1146;-6957;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
1955;1;25;12;23;0;;;CALIFORNIA:  TERMINAL ISLAND;338;-1182;;;4;;;;;;;3;2;;;;;;;;;;;;;;;;
1955;2;18;22;48;33;;;PAKISTAN:  QUETTA;305;67;;;;12;1;;;;3;;2;;;;;12;1;;;;3;;2;;;;
1955;2;27;20;43;0;;;KERMADEC ISLANDS;-28;-1755;60;78;;;;;;;;;;;;;;;;;;;;;;;;;
1955;3;31;18;18;0;;;PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO;81;1232;96;76;8;400;3;;;;;5;2;;;;;;;;;;;;;;;;
1955;4;4;19;24;0;;;NICARAGUA:  MANAGUA;13;-87;;62;;;;;;;;;2;;;;;;;;;;;;;;;;
1955;4;13;20;45;0;;;GREECE:  S;375;22;;;;;;;;;;;2;;;;;;;;;;;;;;;;
1955;4;14;1;29;2;;;CHINA:  SICHUAN PROVINCE;30;1018;;75;9;39;1;;;113;3;;2;500;3;;;39;1;;;113;3;;2;500;3;;
1955;4;15;3;40;58;;;CHINA:  XINJIANG PROVINCE;399;746;;7;9;;;;;;;;2;;2;;;;;;;;;;2;;2;;
1955;4;19;16;47;19;3393;;GREECE:  DRAKIA:AGRIA (MAGNESIA);394;231;33;62;10;8;1;;;149;3;;4;459;3;8352;4;8;1;;;149;3;;4;459;3;8352;4
1955;4;19;20;24;5;1849;;CHILE;-30;-72;30;71;6;;;;;;;;;;;;;1;1;;;;;;1;;1;;
1955;4;21;7;18;0;;;GREECE:  AEGEAN SEA;395;23;;6;10;7;1;;;;;;3;;;;;;;;;;;;;;;;
1955;4;24;12;59;12;;;CHINA:  XINJIANG PROVINCE;442;836;;65;;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1955;5;17;14;49;49;1850;;INDIA:  LITTLE NICOBAR ISLAND;65;94;;73;;;;;;;;;;;;;;;;;;;;;;;;;
1955;6;7;0;48;54;;;CHINA:  YUNNAN PROVINCE;265;1011;;6;8;;;;;;;;3;4524;4;;;;;;;;;;3;4524;4;;
1955;7;16;7;7;0;;;TURKEY:  SOKE, AYDIN;375;27;;68;9;4;1;;;;;;3;;;;;;;;;;;;;;;;
1955;7;20;21;;0;;;COLOMBIA:ECUADOR;2;-784;;6;;;;;;;;;3;;;;;;;;;;;;;;;;
1955;9;1;17;33;0;;;COSTA RICA;10;-845;;58;;10;1;;;;;;2;;;;;;;;;;;;;;;;
1955;9;8;3;27;14;1852;;SOLOMON ISLANDS:  FAURO ISLAND;-69;1557;33;65;;;;;;;;;;;;;;;;;;;;;;;;;
1955;9;12;6;9;20;;;EGYPT:  NILE DELTA;322;296;;63;;22;1;;;12;1;;3;;;;;22;1;;;12;1;;3;;;;
1955;9;23;15;6;23;3573;;CHINA:  YUNNAN PROVINCE;266;1018;10;68;9;;1;;;;;;3;15000;4;;;;1;;;;;;3;15000;4;;
1955;10;1;6;29;55;;;CHINA:  SICHUAN PROVINCE;299;1014;;58;7;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1955;10;9;21;3;0;;;PERU:  MUNGUI,LA UNION PROV,AREQUIPA,TORO,COTAHUASI;-162;-713;;;;1;1;;;;;;2;;;;;;;;;;;;;;;;
1955;10;10;8;57;527;1853;;PAPUA NEW GUINEA:  BISMARCK SEA;-51;152924;35;73;;;;;;;;;;;;;;;;;;;;;;;;;
1956;1;8;7;11;26;;;MEXICO:  GUERRERO;17;-995;;65;;;;;;;3;;3;;;;;;;;;;3;;3;;;;
1956;1;8;20;54;13;1854;;CHILE;-19;-70;;71;5;;1;;;;;;1;;;;;;1;;;;;;1;;;;
1956;1;10;8;52;43;;;TONGA ISLANDS;-26;-175241;35;7;;;;;;;;;;;;;;;;;;;;;;;;;
1956;1;12;5;46;0;;;HUNGARY;475;193;;58;;2;1;;;;;;3;;;;;;;;;;;;;;;;
1956;1;16;23;37;0;;;ECUADOR;-5;-805;;73;9;;;;;;;;2;;;;;;;;;;;;;;;;
1956;1;24;;;0;;;NICARAGUA:  PUERTO SAMOZA;122;-867;;73;;;;;;;;;2;;;;;;;;;;;;;;;;
1956;1;31;2;25;0;;;BALKANS NW:  SLOVENIA:  ILIRSKA BISTRICA,KOSEZE;455;143;7;45;7;;;;;;;;2;;;;;;;;;;;;;;;;
1956;2;20;20;31;0;;;TURKEY:  ESKISEHIR;40;305;;58;8;4;1;;;;;;2;;;;;;;;;;;;;;;;
1956;3;2;22;43;;5540;;NEW ZEALAND:  NORTH ISLAND;-389;1757;;53;7;;;;;;;;1;;;;;;;;;;;;1;;;;
1956;3;5;23;29;0;1855;;NE. HOKKAIDO ISLAND, JAPAN;443;1441;20;;;;;;;;;;;;;;;;;;;;;;;;;;
1956;3;16;19;32;0;;;LEBANON:  LITANI;355;355;;58;;148;3;;;;;;3;;;;;;;;;;;;;;;;
1956;4;19;18;38;0;;;SPAIN;37;-4;;;;7;1;;;;;;3;;;;;;;;;;;;;;;;
1956;5;23;20;48;0;;;FIJI ISLANDS;-15;-179;430;75;;;;;;;;;;;;;;;;;;;;;;;;;
1956;6;9;;;0;;;AFGHANISTAN:  KABUL;351;675;60;76;;100;2;;;;;;;;;;;;;;;;;;;;;;
1956;7;9;3;11;451;1859;;GREECE:  DODECANESE;36664;25957;20;77;9;53;2;;;;;;3;;;;;56;2;;;;;;3;;;;
1956;7;9;3;24;;3392;;GREECE:  AEGEAN SEA;368;252;;68;;;;;;;;;;;;;;;;;;;;;;;;;
1956;7;16;15;7;0;;;MYANMAR (BURMA);222;957;39;7;;38;1;;;;;;2;;;;;;;;;;;;;;;;
1956;7;18;6;19;35;;;INDONESIA:  BANDA SEA;-55;130;190;75;;;;;;;;;;;;;;;;;;;;;;;;;
1956;7;21;15;32;301;;;INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA;23278;70107;15;6;9;156;3;;;;;;3;;;;;156;3;;;;;;3;;;;
1956;8;12;16;59;376;1863;;JAPAN:  IZU PENINSULA;338;1388;50;65;;;;;;;;;;;;;;;;;;;;;;;;;
1956;8;19;0;44;33;;;CHINA:  SHANXI PROVINCE;378;114;;5;7;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1956;10;11;2;24;0;;;RUSSIA:  KURIL ISLANDS;46;1505;110;76;7;;;;;;;;;;;;;;;;;;;;;;;;
1956;10;31;14;3;472;;;IRAN:  BASTAK;27407;54462;15;64;8;410;3;;;;;2.8;2;;;;;410;3;;;;;2.8;2;;;;
1956;11;2;16;4;0;1864;;GREECE:  VOLOS:AGRIA (MAGNESIA);395;23;;57;8;;2;;;;;;;;;;;;;;;;;;;;;;
1956;12;18;2;31;3;1865;;CHILE:  ANTOFAGASTA;-255;-71;33;;;;;;;;;;;;;;;;;;;;;;;;;;
1956;12;31;21;33;22;;;CHINA:  HEBEI PROVINCE;405;1155;;5;6;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1957;2;20;4;41;1;;;TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX;362;89;;56;;13;1;;;96;2;;2;;;;;13;1;;;96;2;;2;;;;
1957;2;23;20;26;14;;;TAIWAN:  HUALIEN, TAIPEI;239;1216;69;72;;11;1;;;;3;;2;;;;;11;1;;;;3;;2;;;;
1957;3;8;12;21;14;;;GREECE:  STEPHANOVIKION:VELESTNON (MAGNESIA);394;228;;7;10;2;1;;;;3;;2;;;;;2;1;;;;3;;2;;;;
1957;3;9;14;22;319;1867;3117;ALASKA;51292;-175629;33;86;;;;;;;;;1;;;;;2;1;;;1;1;;3;;;;
1957;3;22;14;21;0;;;ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS;55;-1652;;75;5;;;;;;;;;;;;;;;;;;;;;;;;
1957;4;14;19;18;0;;;SAMOA ISLANDS;-155;-173;60;75;;;;;;;;;;;;;;;;;;;;;;;;;
1957;4;16;4;4;4;;;INDONESIA:  JAVA SEA;-46;1071;600;75;;;;;;;;;;;;;;;;;;;;;;;;;
1957;4;23;;;0;;;IRAN:  KACHU MESQAL;334;525;;;7;16;1;;;;;;2;210;3;;;16;1;;;;;;2;210;3;;
1957;4;24;19;10;12;;;TURKEY;3631;2862;40;69;;;;;;;;;2;;;;;;;;;;;;2;;;;
1957;4;25;2;25;412;;;TURKEY:  FETHIYE (LYCIA, ASIA MINOR);36405;28699;35;73;10;18;1;;;92;1;;4;3000;4;5000;4;18;1;;;92;1;;4;3000;4;5000;4
1957;5;26;6;33;38;;;TURKEY:  ABANT;4073;3109;25;71;9;52;2;;;;3;;3;;;;4;52;2;;;;3;;3;;;;4
1957;6;10;20;2;2;;;CHINA:  SHANXI PROVINCE;38;1125;;5;6;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1957;6;22;23;50;23;1869;;INDONESIA:  NEW GUINEA:  IRIAN JAYA;-15;137;33;73;;;;;;;;;3;;;;;;;;;;;;3;;;;
1957;6;27;0;9;28;;;RUSSIA:  CHITA;562;1164;15;76;10;;;;;;;;2;;;;;;;;;;;;2;;;;
1957;7;2;0;42;264;;;IRAN:  HAZANDERAN, ABEGARM;36277;52778;15;66;9;1100;4;;;;3;;3;;;;;1100;4;;;;3;;3;;;;
1957;7;28;8;40;1;1870;;MEXICO:  ACAPULCO,MEXICO CITY;165;-991;25;79;7;65;2;;;;3;25;4;;3;;;65;2;;;;3;25;4;;3;;
1957;7;29;17;15;14;1871;;CHILE:  ANTOFAGASTA;-235;-715;33;7;3;;;;;;;;;;;;;;;;;;;;;;;;
1957;9;5;;;0;;;IRAN:  JAHROM;283;533;;;;;3;;;;;;3;;;;;;;;;;;;;;;;
1957;9;24;8;21;0;;;PHILIPPINES;55;1275;60;76;;;;;;;;;;;;;;;;;;;;;;;;;
1957;9;26;;;;1872;;S. JAVA SEA;-82;1073;;;;;;;;;;;;;;;;;;;;;;;;;;;
1957;9;28;14;20;0;;;FIJI ISLANDS;-204;-1785;549;75;;;;;;;;;;;;;;;;;;;;;;;;;
1957;10;26;14;16;57;1873;;INDONESIA:  KALIMANTAN ISLAND;-2;116;;6;;;;;;;;;;;;;;;;;;;;;;;;;
1957;11;29;22;19;0;;;BOLIVIA:  S;-21;-66;170;78;;;;;;;;;1;;;;;;;;;;;;;;;;
1957;11;;;;0;1875;;SOLOMON ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1957;12;4;3;37;45;;;MONGOLIA;455;995;33;81;11;30;1;;;;;;2;;;;;30;1;;;;;;2;;;;
1957;12;13;1;45;48;;;IRAN:  FARSINAJ;34388;47748;15;65;8;1200;4;;;;3;;3;;;;;1200;4;;;;3;;3;;;;
1957;12;17;13;50;0;;;SOLOMON ISLANDS:  SANTA CRUZ ISLANDS;-123;1667;120;78;;;;;;;;;;;;;;;;;;;;;;;;;
1958;1;15;19;14;0;;;PERU: AREQUIPA;-165;-72;60;73;9;28;1;;;;;;2;;;;;;;;;;;;;;;;
1958;1;16;2;4;0;;;IRAN;365;53;;;;;3;;;;;;2;;;;;;;;;;;;;;;;
1958;1;19;14;7;27;1877;;COLOMBIA:ECUADOR;15;-795;60;76;9;111;3;;;46;1;;2;;2;;;115;3;;;46;1;;2;;2;;
1958;2;1;16;10;15;;;COLOMBIA:ECUADOR;2;-79;;69;;;1;;;;;;3;;;;2;;1;;;;;;3;;;;2
1958;2;7;23;23;36;3574;;CHINA:  SICHUAN PROVINCE;315;104;;62;7;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1958;3;11;0;22;56;;;JAPAN:  RYUKYU ISLANDS;25;125;70;75;;;2;;;;3;;;;;;;;2;;;;3;;;;;;
1958;4;21;22;37;36;1879;;INDONESIA:  SUMATRA:  BENGKULU;-45;104;200;67;;;;;;;;;;;;;;;;;;;;;;;;;
1958;5;14;2;34;0;;;AZORES;385;-288;;;;;;;;;;;3;;;;;;;;;;;;3;;;;
1958;7;10;6;15;599;1880;;ALASKA:  LITUYA BAY;5837;-136665;35;78;11;;;;;;;;1;;1;;;5;1;;;;;0.1;1;;1;;
1958;7;26;17;38;0;;;PERU:  S;-135;-69;620;75;;;;;;;;;1;;;;;;;;;;;;;;;;
1958;8;16;19;13;483;;;IRAN:  FIRUZABAD;3429;47867;15;67;7;132;3;;;948;3;;3;2500;4;;;132;3;;;948;3;;3;2500;4;;
1958;9;1;14;30;0;;;PERU:  S;-18;-65;;;;4;1;;;;;;4;;;;;;;;;;;;;;;;
1958;9;4;21;51;169;;;CHILE:ARGENTINA;-33785;-70112;;68;;7;1;;;;;;3;;;;;;;;;;;;;;;;
1958;9;17;12;24;0;1881;;RUSSIA:  KURIL ISLANDS;493;1564;;;;;;;;;;;;;;;;;;;;;;;;;;;
1958;9;21;16;18;0;;;IRAN;36;49;;52;6;16;1;;;;;;3;;;;;16;1;;;;;;3;;;;
1958;9;25;1;5;36;;;CHINA:  GUANGXI PROVINCE;225;1095;;58;7;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1958;10;20;1;12;37;;;INDONESIA:  JAVA:  MALANG;-95;1125;100;67;8;8;1;;;1856;4;;2;95;2;206;3;8;1;;;1856;4;;2;95;2;206;3
1958;11;4;22;54;46;1883;;EAST PACIFIC RIDGE;-50;-115;;61;;;;;;;;;;;;;;;;;;;;;;;;;
1958;11;6;22;58;86;1884;;RUSSIA:  KURIL ISLANDS;4453;14854;40;83;10;;;;;;;;2;;;;;;;;;;;;;;;;
1958;11;12;20;23;0;1885;;RUSSIA:  KURIL ISLANDS;442;1488;29;;;;;;;;;;;;;;;;;;;;;;;;;;
1958;11;18;10;45;0;;;ITALY:  N;443;99;;;12;;;;;;;;;;;;;;;;;;;;;;;;
1958;11;29;9;30;0;;;ITALY:  N;444;88;;;12;;;;;;;;;;;;;;;;;;;;;;;;
1959;1;22;5;10;0;1886;;SANRIKU, JAPAN;375;1422;40;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;1;26;6;46;0;;;ITALY:  N;445;96;;;12;;;;;;;;;;;;;;;;;;;;;;;;
1959;2;7;9;36;51;1887;;PERU:ECUADOR;-4;-815;19;74;7;;;;;;;;1;;;;1;;;;;;;;1;;;;1
1959;4;5;;;;;;FRANCE:  ST PAUL D'UBAYE,JAUSIERS,CEILLAC,VARS;44;68;;55;8;;;;;;;;2;;;;;;;;;;;;;;;;
1959;4;9;12;24;20;1889;;RUSSIA:  KURIL ISLANDS;443;149;40;5;;;;;;;;;;;;;;;;;;;;;;;;;
1959;4;11;22;;0;;;ITALY:  CENTRAL;429;126;;;12;;;;;;;;;;;;;;;;;;;;;;;;
1959;4;17;;;0;;;ITALY:  N;445;108;;;12;;;;;;;;;;;;;;;;;;;;;;;;
1959;4;25;0;26;0;;;TURKEY:  KOYCEGIZ, MUGLA;37;287;;63;8;;;;;;;;2;;;;;;;;;;;;;;;;
1959;4;26;20;40;38;;;TAIWAN:  TAIPEI;2478;1227;150;75;;2;1;;;;;;1;;;;;2;1;;;;;;1;;;;
1959;5;4;7;15;42;1890;;RUSSIA:  NEAR EAST COAST OF KAMCHATKA;525;1595;60;82;10;1;1;;;13;1;;2;;2;;;1;1;;;13;1;;2;;2;;
1959;5;24;19;17;0;;;MEXICO:  OAXACA:;17;-963;100;68;;;;;;;;;3;;;;;;;;;;;;;;;;
1959;6;14;0;12;65;;;BOLIVIA:NORTHERN CHILE;-20369;-68;112;75;;1;1;;;;;;1;;;;;1;1;;;;;;1;;;;
1959;6;18;15;31;0;;;RUSSIA:  NEAR KAMCHATKA;539;1605;15;7;10;;;;;;;;;;;;;;;;;;;;;;;;
1959;7;2;18;33;54;;;CHINA:  HENAN PROVINCE;318;1153;;5;6;;;;;;1;;1;;1;;;;;;;;1;;1;;1;;
1959;8;10;23;7;29;;;CHINA:  SHAANXI PROVINCE;356;1109;;54;7;;;;;;;;1;43;1;;;;;;;;;;1;43;1;;
1959;8;15;8;57;3;;;TAIWAN;2218;12113;60;7;;16;1;;;63;2;;3;;3;;;16;1;;;63;2;;3;;3;;
1959;8;17;21;4;40;1892;;SOLOMON ISLANDS;-75;156;;73;;;;;;;;;3;;;;;;;;;;;;3;;;;1
1959;8;18;6;37;135;2371;;MONTANA:  HEBGEN LAKE;44712;-111215;5;77;10;28;1;;;;;11;3;;;;2;28;1;;;;;11;3;;;;2
1959;8;26;8;25;31;;;MEXICO:  GULF OF CAMPECHE;183;-944;;69;;25;1;;;200;3;;3;;3;;;25;1;;;200;3;;3;;3;;
1959;8;29;17;3;10;5836;;RUSSIA: LAKE BAYKAL (BAIKAL);52;1065;;65;;;;;;;;;;;;;;;;;;;;;;;;;
1959;9;1;11;37;0;;;ALBANIA;409;198;11;61;10;2;1;;;;;;3;;;;;;;;;;;;;;;;
1959;9;14;14;9;0;;;KERMADEC ISLANDS;-285;-177;60;77;;;;;;;;;;;;;;;;;;;;;;;;;
1959;10;25;15;57;0;;;TURKEY:  NINIA;391;416;;62;;18;1;;;;;;2;;;;;;;;;;;;;;;;
1959;10;26;7;35;0;1893;;SANRIKU, JAPAN;375;1432;10;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;10;27;6;52;512;;;RUSSIA:  KAMCHATKA;4589;15111;70;72;;;;;;;;;;;;;;;;;;;;;;;;;
1959;11;7;;;0;;;ALGERIA:  BOU:MEDFA;364;26;;55;8;;;;;;;;2;;;;;;;;;;;;;;;;
1959;11;15;10;25;16;;;CHINA:  XINGJIANG;3875;75317;;64;;;1;;;;;;1;;;;;;1;;;;;;1;;1;;
1959;12;24;12;50;0;;;PERU:  AYACUCHO,POMABAMBA,MOYOBAMBA,HUAHUAPUQUIO;-135;-74;;;7;7;1;;;;;;2;;;;;;;;;;;;;;;;
1960;1;13;15;40;34;1896;;PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI;-1575;-7275;160;78;10;63;2;;;200;3;;3;;3;;;63;2;;;200;3;;3;;3;;
1960;1;15;9;30;0;;;PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA;-15;-75;150;7;;63;2;;;;;;1;;;;;;;;;;;;;;;;
1960;2;2;23;51;59;;;CHINA:  GANSU PROVINCE;338;1045;;53;6;;;;;;;;1;;1;;;;;;;;;;1;;1;;
1960;2;21;8;13;31;;;ALGERIA:  MELOUZA;36;41;33;56;;47;1;;;88;2;;2;;;;;47;1;;;88;2;;2;;;;
1960;2;29;23;40;14;1897;;MOROCCO:  AGADIR;3045;-962;33;59;10;13100;4;;;25000;4;120;4;;3;;;13100;4;;;25000;4;120;4;;3;;
1960;3;20;17;7;30;1898;;JAPAN:  SANRIKU;398;1434;20;75;;;;;;;;;1;;;;;;;;;;;;1;;;;
1960;3;23;0;23;;1899;;JAPAN:  SANRIKU;394;1437;20;67;;;;;;;;;;;;;;;;;;;;;;;;;
1960;4;13;7;57;49;;;CHINA:  JILIN PROVINCE;447;127;;58;8;;;;;;;;1;29;1;;;;;;;;;;1;29;1;;
1960;4;24;12;14;317;;;IRAN:  LAR;27814;54497;15;59;7;420;3;;;3000;4;20;3;;;;;420;3;;;3000;4;20;3;;;;
1960;4;29;9;16;20;;;INDONESIA:  CENTRAL SULAWESI:  UNA:UNA ISLAND;-5;1215;;;8;;;;;;;;2;50;1;;;;;;;;;;2;50;1;;
1960;5;21;10;2;50;1901;;CHILE:  CENTRAL;-37872;-73243;35;82;;;1;;;;3;;1;;;;;;1;;;;3;;1;;;;
1960;5;22;19;11;17;1902;4153;CHILE:  PUERTO MONTT, VALDIVIA;-38143;-73407;33;95;12;2000;4;;;3000;4;1000;4;58622;4;;;2226;4;;;3000;4;1000;4;58622;4;;
1960;5;26;5;10;0;;;GREECE:ALBANIA;40;20;;65;;8;1;;;;;;2;;;;;;;;;;;;;;;;
1960;6;11;15;14;9;1904;;PAPUA NEW GUINEA:  W. SOLOMON SEA;-94;1523;33;66;;;;;;;;;;;;;;;;;;;;;;;;;
1960;7;29;17;31;45;1905;;JAPAN:  SANRIKU;403;1425;50;67;;;;;;;;;;;;;;;;;;;;;;;;;
1960;7;30;2;4;0;;;ECUADOR;-15;-79;21;;;11;1;;;;;;1;;;;;;;;;;;;;;;;
1960;8;27;15;58;0;;;INDIA:  N;286;767;58;;;;;;;;;;2;;;;;;;;;;;;;;;;
1960;9;22;9;5;325;;;CONGO:  LAKE TANGANYIKA;-36;29;28;66;;24;1;;;;;;2;;;;3;24;1;;;;;;2;;;;3
1960;10;7;;;0;;;PHILIPPINES:  PANAY;111;1223;;;;3;1;;;;;;2;;;;;;;;;;;;;;;;
1960;11;1;8;45;59;1906;;CHILE:  CONCEPCION;-385;-751;55;74;;;1;;;;;;1;;;;;;1;;;;;;1;;;;
1960;11;9;10;43;42;;;CHINA:  SICHUAN PROVINCE;327;1037;;68;9;;;;;;;;3;;3;;;;;;;;;;3;;3;;
1960;11;20;22;1;564;1907;;PERU;-68;-807;93;67;;;;;;;;;;;;;;66;2;;;2;1;0.55;1;;;;
1961;1;10;14;22;255;;;RUSSIA:  KAMCHATKA;50016;156099;59;66;;;;;;;;;;;;;;;;;;;;;;;;;
1961;1;16;7;20;0;1910;;JAPAN:  KASHIMA;36;1423;40;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;1;16;11;19;0;1911;;JAPAN:  KASHIMA;36;1419;20;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;1;16;12;12;0;1912;;JAPAN:  KASHIMA;362;1419;20;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;2;4;8;51;0;;;INDIA;249;9334;141;76;;;;;;;;;;;;;;;;;;;;;;;;;
1961;2;12;21;53;0;1913;;RUSSIA:  KURIL ISLANDS;432;1479;80;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;2;26;18;10;487;1914;;JAPAN:  MIYAZAKI;316;1318;74;73;;2;1;;;7;1;;2;170;3;170;3;2;1;;;7;1;;2;170;3;;
1961;3;7;10;10;0;;;KERMADEC ISLANDS;-283;-1757;40;75;;;;;;;;;;;;;;;;;;;;;;;;;
1961;3;7;19;0;48;;;CHINA:  HUBEI PROVINCE;305;110;;49;7;;;;;;;;2;25;1;;;;;;;;;;2;25;1;;
1961;3;16;13;45;356;;;INDONESIA:  FLORES:  ENDEH;-82;122;74;65;8;2;1;;;6;1;;2;;;;;2;1;;;6;1;;2;;;;
1961;3;24;10;36;0;;;ITALY:  SICILY;38;153;;;;15;1;;;;;;2;;;;;;;;;;;;;;;;
1961;4;4;21;32;0;;;CALIFORNIA:  TERMINAL ISLAND;34;-118;16;;;;;;;;;4.5;2;;;;;;;;;;;;;;;;
1961;4;13;16;34;39;;;CHINA: XINJIANG;398;777;;68;9;;;;;;;;2;53;2;;;;;;;;;;2;53;2;;
1961;5;23;2;45;19;1917;;TURKEY;36693;28594;35;64;;;;;;;;;;;;;;;;;;;;;;;;;
1961;6;1;23;29;256;;;ETHIOPIA:  KARAKORE;10466;39717;33;62;9;160;3;;;;3;;3;;3;;;160;3;;;;3;;3;;3;;
1961;6;11;5;10;281;;;IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU;27861;54528;15;64;8;60;2;;;;3;;3;500;3;;;61;2;;;;3;;3;500;3;;
1961;6;11;17;15;33;;;CHINA:   YUNNAN PROVINCE;2497;9863;33;58;8;;;;;;;;3;5740;4;;;;;;;;;;3;5740;4;;
1961;6;16;10;31;573;2385;;COLOMBIA: NORTHEASTERN COLOMBIA;89;-734;120;65;;;;;;;;;;;;;;;;;;;;;;;;;
1961;6;27;0;49;0;;;IRAN;335;494;;;;5;1;;;;3;;2;;;;;5;1;;;;3;;2;;;;
1961;6;27;7;3;41;;;CHINA:   YUNNAN PROVINCE;2773;9975;25;6;8;;;;;;;;3;11400;4;;;;;;;;;;3;11400;4;;
1961;7;18;14;4;0;1920;;JAPAN:  RYUKYU ISLANDS;296;1318;60;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;7;23;21;51;105;1921;;VANUATU ISLANDS;-18421;168411;35;73;;;;;;;;;;;;;;;;;;;;;1;;;;
